number,season,episode,airdate,title,link
1,1,1,03 Jan 93,"Emissary, Part I","https://www.tvmaze.com/episodes/44807/star-trek-deep-space-nine-1x01-emissary-part-i"
2,1,2,03 Jan 93,"Emissary, Part II","https://www.tvmaze.com/episodes/44808/star-trek-deep-space-nine-1x02-emissary-part-ii"
3,1,3,10 Jan 93,"Past Prologue","https://www.tvmaze.com/episodes/44809/star-trek-deep-space-nine-1x03-past-prologue"
4,1,4,17 Jan 93,"A Man Alone","https://www.tvmaze.com/episodes/44810/star-trek-deep-space-nine-1x04-a-man-alone"
5,1,5,24 Jan 93,"Babel","https://www.tvmaze.com/episodes/44811/star-trek-deep-space-nine-1x05-babel"
6,1,6,31 Jan 93,"Captive Pursuit","https://www.tvmaze.com/episodes/44812/star-trek-deep-space-nine-1x06-captive-pursuit"
7,1,7,07 Feb 93,"Q-Less","https://www.tvmaze.com/episodes/44813/star-trek-deep-space-nine-1x07-q-less"
8,1,8,14 Feb 93,"Dax","https://www.tvmaze.com/episodes/44814/star-trek-deep-space-nine-1x08-dax"
9,1,9,21 Feb 93,"The Passenger","https://www.tvmaze.com/episodes/44815/star-trek-deep-space-nine-1x09-the-passenger"
10,1,10,14 Mar 93,"Move Along Home","https://www.tvmaze.com/episodes/44816/star-trek-deep-space-nine-1x10-move-along-home"
11,1,11,21 Mar 93,"The Nagus","https://www.tvmaze.com/episodes/44817/star-trek-deep-space-nine-1x11-the-nagus"
12,1,12,18 Apr 93,"Vortex","https://www.tvmaze.com/episodes/44818/star-trek-deep-space-nine-1x12-vortex"
13,1,13,25 Apr 93,"Battle Lines","https://www.tvmaze.com/episodes/44819/star-trek-deep-space-nine-1x13-battle-lines"
14,1,14,02 May 93,"The Storyteller","https://www.tvmaze.com/episodes/44820/star-trek-deep-space-nine-1x14-the-storyteller"
15,1,15,09 May 93,"Progress","https://www.tvmaze.com/episodes/44821/star-trek-deep-space-nine-1x15-progress"
16,1,16,16 May 93,"If Wishes Were Horses","https://www.tvmaze.com/episodes/44822/star-trek-deep-space-nine-1x16-if-wishes-were-horses"
17,1,17,23 May 93,"The Forsaken","https://www.tvmaze.com/episodes/44823/star-trek-deep-space-nine-1x17-the-forsaken"
18,1,18,30 May 93,"Dramatis Personae","https://www.tvmaze.com/episodes/44824/star-trek-deep-space-nine-1x18-dramatis-personae"
19,1,19,13 Jun 93,"Duet","https://www.tvmaze.com/episodes/44825/star-trek-deep-space-nine-1x19-duet"
20,1,20,20 Jun 93,"In the Hands of the Prophets","https://www.tvmaze.com/episodes/44826/star-trek-deep-space-nine-1x20-in-the-hands-of-the-prophets"
21,2,1,26 Sep 93,"The Homecoming","https://www.tvmaze.com/episodes/44827/star-trek-deep-space-nine-2x01-the-homecoming"
22,2,2,03 Oct 93,"The Circle","https://www.tvmaze.com/episodes/44828/star-trek-deep-space-nine-2x02-the-circle"
23,2,3,10 Oct 93,"The Siege","https://www.tvmaze.com/episodes/44829/star-trek-deep-space-nine-2x03-the-siege"
24,2,4,17 Oct 93,"Invasive Procedures","https://www.tvmaze.com/episodes/44830/star-trek-deep-space-nine-2x04-invasive-procedures"
25,2,5,24 Oct 93,"Cardassians","https://www.tvmaze.com/episodes/44831/star-trek-deep-space-nine-2x05-cardassians"
26,2,6,31 Oct 93,"Melora","https://www.tvmaze.com/episodes/44832/star-trek-deep-space-nine-2x06-melora"
27,2,7,07 Nov 93,"Rules of Acquisition","https://www.tvmaze.com/episodes/44833/star-trek-deep-space-nine-2x07-rules-of-acquisition"
28,2,8,14 Nov 93,"Necessary Evil","https://www.tvmaze.com/episodes/44834/star-trek-deep-space-nine-2x08-necessary-evil"
29,2,9,21 Nov 93,"Second Sight","https://www.tvmaze.com/episodes/44835/star-trek-deep-space-nine-2x09-second-sight"
30,2,10,28 Nov 93,"Sanctuary","https://www.tvmaze.com/episodes/44836/star-trek-deep-space-nine-2x10-sanctuary"
31,2,11,02 Jan 94,"Rivals","https://www.tvmaze.com/episodes/44837/star-trek-deep-space-nine-2x11-rivals"
32,2,12,09 Jan 94,"The Alternate","https://www.tvmaze.com/episodes/44838/star-trek-deep-space-nine-2x12-the-alternate"
33,2,13,30 Jan 94,"Armageddon Game","https://www.tvmaze.com/episodes/44839/star-trek-deep-space-nine-2x13-armageddon-game"
34,2,14,06 Feb 94,"Whispers","https://www.tvmaze.com/episodes/44840/star-trek-deep-space-nine-2x14-whispers"
35,2,15,13 Feb 94,"Paradise","https://www.tvmaze.com/episodes/44841/star-trek-deep-space-nine-2x15-paradise"
