number,season,episode,airdate,title,link
1,1,1,26 Sep 01,"Broken Bow (1)","https://www.tvmaze.com/episodes/63259/star-trek-enterprise-1x01-broken-bow-1"
2,1,2,26 Sep 01,"Broken Bow (2)","https://www.tvmaze.com/episodes/63260/star-trek-enterprise-1x02-broken-bow-2"
3,1,3,03 Oct 01,"Fight or Flight","https://www.tvmaze.com/episodes/63261/star-trek-enterprise-1x03-fight-or-flight"
4,1,4,10 Oct 01,"Strange New World","https://www.tvmaze.com/episodes/63262/star-trek-enterprise-1x04-strange-new-world"
5,1,5,17 Oct 01,"Unexpected","https://www.tvmaze.com/episodes/63263/star-trek-enterprise-1x05-unexpected"
6,1,6,24 Oct 01,"Terra Nova","https://www.tvmaze.com/episodes/63264/star-trek-enterprise-1x06-terra-nova"
7,1,7,31 Oct 01,"The Andorian Incident","https://www.tvmaze.com/episodes/63265/star-trek-enterprise-1x07-the-andorian-incident"
8,1,8,07 Nov 01,"Breaking the Ice","https://www.tvmaze.com/episodes/63266/star-trek-enterprise-1x08-breaking-the-ice"
9,1,9,14 Nov 01,"Civilization","https://www.tvmaze.com/episodes/63267/star-trek-enterprise-1x09-civilization"
10,1,10,21 Nov 01,"Fortunate Son","https://www.tvmaze.com/episodes/63268/star-trek-enterprise-1x10-fortunate-son"
11,1,11,28 Nov 01,"Cold Front","https://www.tvmaze.com/episodes/63269/star-trek-enterprise-1x11-cold-front"
12,1,12,16 Jan 02,"Silent Enemy","https://www.tvmaze.com/episodes/63270/star-trek-enterprise-1x12-silent-enemy"
13,1,13,23 Jan 02,"Dear Doctor","https://www.tvmaze.com/episodes/63271/star-trek-enterprise-1x13-dear-doctor"
14,1,14,30 Jan 02,"Sleeping Dogs","https://www.tvmaze.com/episodes/63272/star-trek-enterprise-1x14-sleeping-dogs"
15,1,15,06 Feb 02,"Shadows of P'Jem","https://www.tvmaze.com/episodes/63273/star-trek-enterprise-1x15-shadows-of-pjem"
16,1,16,13 Feb 02,"Shuttlepod One","https://www.tvmaze.com/episodes/63274/star-trek-enterprise-1x16-shuttlepod-one"
17,1,17,27 Feb 02,"Fusion","https://www.tvmaze.com/episodes/63275/star-trek-enterprise-1x17-fusion"
18,1,18,20 Mar 02,"Rogue Planet","https://www.tvmaze.com/episodes/63276/star-trek-enterprise-1x18-rogue-planet"
19,1,19,27 Mar 02,"Acquisition","https://www.tvmaze.com/episodes/63277/star-trek-enterprise-1x19-acquisition"
20,1,20,03 Apr 02,"Oasis","https://www.tvmaze.com/episodes/63278/star-trek-enterprise-1x20-oasis"
21,1,21,24 Apr 02,"Detained","https://www.tvmaze.com/episodes/63279/star-trek-enterprise-1x21-detained"
22,1,22,01 May 02,"Vox Sola","https://www.tvmaze.com/episodes/63280/star-trek-enterprise-1x22-vox-sola"
23,1,23,08 May 02,"Fallen Hero","https://www.tvmaze.com/episodes/63281/star-trek-enterprise-1x23-fallen-hero"
24,1,24,08 May 02,"Desert Crossing","https://www.tvmaze.com/episodes/63282/star-trek-enterprise-1x24-desert-crossing"
25,1,25,15 May 02,"Two Days and Two Nights","https://www.tvmaze.com/episodes/63283/star-trek-enterprise-1x25-two-days-and-two-nights"
