number,season,episode,airdate,title,link
1,1,1,28 Sep 87,"Encounter at Farpoint (1)","https://www.tvmaze.com/episodes/44456/star-trek-the-next-generation-1x01-encounter-at-farpoint-1"
2,1,2,28 Sep 87,"Encounter at Farpoint (2)","https://www.tvmaze.com/episodes/44457/star-trek-the-next-generation-1x02-encounter-at-farpoint-2"
3,1,3,05 Oct 87,"The Naked Now","https://www.tvmaze.com/episodes/44458/star-trek-the-next-generation-1x03-the-naked-now"
4,1,4,12 Oct 87,"Code of Honor","https://www.tvmaze.com/episodes/44459/star-trek-the-next-generation-1x04-code-of-honor"
5,1,5,19 Oct 87,"The Last Outpost","https://www.tvmaze.com/episodes/44460/star-trek-the-next-generation-1x05-the-last-outpost"
6,1,6,26 Oct 87,"Where No One Has Gone Before","https://www.tvmaze.com/episodes/44461/star-trek-the-next-generation-1x06-where-no-one-has-gone-before"
7,1,7,02 Nov 87,"Lonely Among Us","https://www.tvmaze.com/episodes/44462/star-trek-the-next-generation-1x07-lonely-among-us"
8,1,8,09 Nov 87,"Justice","https://www.tvmaze.com/episodes/44463/star-trek-the-next-generation-1x08-justice"
9,1,9,16 Nov 87,"The Battle","https://www.tvmaze.com/episodes/44464/star-trek-the-next-generation-1x09-the-battle"
10,1,10,23 Nov 87,"Hide and Q","https://www.tvmaze.com/episodes/44465/star-trek-the-next-generation-1x10-hide-and-q"
11,1,11,30 Nov 87,"Haven","https://www.tvmaze.com/episodes/44466/star-trek-the-next-generation-1x11-haven"
12,1,12,11 Jan 88,"The Big Goodbye","https://www.tvmaze.com/episodes/44467/star-trek-the-next-generation-1x12-the-big-goodbye"
13,1,13,18 Jan 88,"Datalore","https://www.tvmaze.com/episodes/44468/star-trek-the-next-generation-1x13-datalore"
14,1,14,25 Jan 88,"Angel One","https://www.tvmaze.com/episodes/44469/star-trek-the-next-generation-1x14-angel-one"
15,1,15,01 Feb 88,"11001001","https://www.tvmaze.com/episodes/44470/star-trek-the-next-generation-1x15-11001001"
16,1,16,08 Feb 88,"Too Short a Season","https://www.tvmaze.com/episodes/44471/star-trek-the-next-generation-1x16-too-short-a-season"
17,1,17,15 Feb 88,"When the Bough Breaks","https://www.tvmaze.com/episodes/44472/star-trek-the-next-generation-1x17-when-the-bough-breaks"
18,1,18,22 Feb 88,"Home Soil","https://www.tvmaze.com/episodes/44473/star-trek-the-next-generation-1x18-home-soil"
19,1,19,14 Mar 88,"Coming of Age","https://www.tvmaze.com/episodes/44474/star-trek-the-next-generation-1x19-coming-of-age"
20,1,20,21 Mar 88,"Heart of Glory","https://www.tvmaze.com/episodes/44475/star-trek-the-next-generation-1x20-heart-of-glory"
21,1,21,11 Apr 88,"The Arsenal of Freedom","https://www.tvmaze.com/episodes/44476/star-trek-the-next-generation-1x21-the-arsenal-of-freedom"
22,1,22,18 Apr 88,"Symbiosis","https://www.tvmaze.com/episodes/44477/star-trek-the-next-generation-1x22-symbiosis"
23,1,23,25 Apr 88,"Skin of Evil","https://www.tvmaze.com/episodes/44478/star-trek-the-next-generation-1x23-skin-of-evil"
24,1,24,02 May 88,"We'll Always Have Paris","https://www.tvmaze.com/episodes/44479/star-trek-the-next-generation-1x24-well-always-have-paris"
25,1,25,09 May 88,"Conspiracy","https://www.tvmaze.com/episodes/44480/star-trek-the-next-generation-1x25-conspiracy"
26,1,26,16 May 88,"The Neutral Zone","https://www.tvmaze.com/episodes/44481/star-trek-the-next-generation-1x26-the-neutral-zone"
27,2,1,21 Nov 88,"The Child","https://www.tvmaze.com/episodes/44482/star-trek-the-next-generation-2x01-the-child"
28,2,2,28 Nov 88,"Where Silence Has Lease","https://www.tvmaze.com/episodes/44483/star-trek-the-next-generation-2x02-where-silence-has-lease"
29,2,3,05 Dec 88,"Elementary, Dear Data","https://www.tvmaze.com/episodes/44484/star-trek-the-next-generation-2x03-elementary-dear-data"
30,2,4,12 Dec 88,"The Outrageous Okona","https://www.tvmaze.com/episodes/44485/star-trek-the-next-generation-2x04-the-outrageous-okona"
31,2,5,09 Jan 89,"Loud as a Whisper","https://www.tvmaze.com/episodes/44486/star-trek-the-next-generation-2x05-loud-as-a-whisper"
32,2,6,23 Jan 89,"The Schizoid Man","https://www.tvmaze.com/episodes/44487/star-trek-the-next-generation-2x06-the-schizoid-man"
33,2,7,30 Jan 89,"Unnatural Selection","https://www.tvmaze.com/episodes/44488/star-trek-the-next-generation-2x07-unnatural-selection"
34,2,8,06 Feb 89,"A Matter of Honor","https://www.tvmaze.com/episodes/44489/star-trek-the-next-generation-2x08-a-matter-of-honor"
35,2,9,13 Feb 89,"The Measure of a Man","https://www.tvmaze.com/episodes/44490/star-trek-the-next-generation-2x09-the-measure-of-a-man"
36,2,10,20 Feb 89,"The Dauphin","https://www.tvmaze.com/episodes/44491/star-trek-the-next-generation-2x10-the-dauphin"
37,2,11,20 Mar 89,"Contagion","https://www.tvmaze.com/episodes/44492/star-trek-the-next-generation-2x11-contagion"
38,2,12,27 Mar 89,"The Royale","https://www.tvmaze.com/episodes/44493/star-trek-the-next-generation-2x12-the-royale"
39,2,13,03 Apr 89,"Time Squared","https://www.tvmaze.com/episodes/44494/star-trek-the-next-generation-2x13-time-squared"
40,2,14,24 Apr 89,"The Icarus Factor","https://www.tvmaze.com/episodes/44495/star-trek-the-next-generation-2x14-the-icarus-factor"
41,2,15,01 May 89,"Pen Pals","https://www.tvmaze.com/episodes/44496/star-trek-the-next-generation-2x15-pen-pals"
42,2,16,08 May 89,"Q Who?","https://www.tvmaze.com/episodes/44497/star-trek-the-next-generation-2x16-q-who"
43,2,17,15 May 89,"Samaritan Snare","https://www.tvmaze.com/episodes/44498/star-trek-the-next-generation-2x17-samaritan-snare"
44,2,18,22 May 89,"Up the Long Ladder","https://www.tvmaze.com/episodes/44499/star-trek-the-next-generation-2x18-up-the-long-ladder"
45,2,19,19 Jun 89,"Manhunt","https://www.tvmaze.com/episodes/44500/star-trek-the-next-generation-2x19-manhunt"
46,2,20,29 Jun 89,"The Emissary","https://www.tvmaze.com/episodes/44501/star-trek-the-next-generation-2x20-the-emissary"
47,2,21,10 Jul 89,"Peak Performance","https://www.tvmaze.com/episodes/44502/star-trek-the-next-generation-2x21-peak-performance"
48,2,22,17 Jul 89,"Shades of Gray","https://www.tvmaze.com/episodes/44503/star-trek-the-next-generation-2x22-shades-of-gray"
49,3,1,25 Sep 89,"Evolution","https://www.tvmaze.com/episodes/44504/star-trek-the-next-generation-3x01-evolution"
50,3,2,02 Oct 89,"The Ensigns of Command","https://www.tvmaze.com/episodes/44505/star-trek-the-next-generation-3x02-the-ensigns-of-command"
51,3,3,09 Oct 89,"The Survivors","https://www.tvmaze.com/episodes/44506/star-trek-the-next-generation-3x03-the-survivors"
52,3,4,16 Oct 89,"Who Watches the Watchers","https://www.tvmaze.com/episodes/44507/star-trek-the-next-generation-3x04-who-watches-the-watchers"
53,3,5,23 Oct 89,"The Bonding","https://www.tvmaze.com/episodes/44508/star-trek-the-next-generation-3x05-the-bonding"
54,3,6,30 Oct 89,"Booby Trap","https://www.tvmaze.com/episodes/44509/star-trek-the-next-generation-3x06-booby-trap"
55,3,7,06 Nov 89,"The Enemy","https://www.tvmaze.com/episodes/44510/star-trek-the-next-generation-3x07-the-enemy"
56,3,8,13 Nov 89,"The Price","https://www.tvmaze.com/episodes/44511/star-trek-the-next-generation-3x08-the-price"
57,3,9,20 Nov 89,"The Vengeance Factor","https://www.tvmaze.com/episodes/44512/star-trek-the-next-generation-3x09-the-vengeance-factor"
58,3,10,01 Jan 90,"The Defector","https://www.tvmaze.com/episodes/44513/star-trek-the-next-generation-3x10-the-defector"
59,3,11,08 Jan 90,"The Hunted","https://www.tvmaze.com/episodes/44514/star-trek-the-next-generation-3x11-the-hunted"
60,3,12,29 Jan 90,"The High Ground","https://www.tvmaze.com/episodes/44515/star-trek-the-next-generation-3x12-the-high-ground"
61,3,13,05 Feb 90,"Déjà Q","https://www.tvmaze.com/episodes/44516/star-trek-the-next-generation-3x13-deja-q"
62,3,14,12 Feb 90,"A Matter of Perspective","https://www.tvmaze.com/episodes/44517/star-trek-the-next-generation-3x14-a-matter-of-perspective"
63,3,15,19 Feb 90,"Yesterday's Enterprise","https://www.tvmaze.com/episodes/44518/star-trek-the-next-generation-3x15-yesterdays-enterprise"
64,3,16,12 Mar 90,"The Offspring","https://www.tvmaze.com/episodes/44519/star-trek-the-next-generation-3x16-the-offspring"
65,3,17,19 Mar 90,"Sins of the Father","https://www.tvmaze.com/episodes/44520/star-trek-the-next-generation-3x17-sins-of-the-father"
66,3,18,26 Mar 90,"Allegiance","https://www.tvmaze.com/episodes/44521/star-trek-the-next-generation-3x18-allegiance"
67,3,19,02 Apr 90,"Captain's Holiday","https://www.tvmaze.com/episodes/44522/star-trek-the-next-generation-3x19-captains-holiday"
