number,season,episode,airdate,title,link
1,1,1,16 Jan 95,"Caretaker, Part I","https://www.tvmaze.com/episodes/44635/star-trek-voyager-1x01-caretaker-part-i"
2,1,2,16 Jan 95,"Caretaker, Part II","https://www.tvmaze.com/episodes/44636/star-trek-voyager-1x02-caretaker-part-ii"
3,1,3,23 Jan 95,"Parallax","https://www.tvmaze.com/episodes/44637/star-trek-voyager-1x03-parallax"
4,1,4,30 Jan 95,"Time and Again","https://www.tvmaze.com/episodes/44638/star-trek-voyager-1x04-time-and-again"
5,1,5,06 Feb 95,"Phage","https://www.tvmaze.com/episodes/44639/star-trek-voyager-1x05-phage"
6,1,6,13 Feb 95,"The Cloud","https://www.tvmaze.com/episodes/44640/star-trek-voyager-1x06-the-cloud"
7,1,7,20 Feb 95,"Eye of the Needle","https://www.tvmaze.com/episodes/44641/star-trek-voyager-1x07-eye-of-the-needle"
8,1,8,27 Feb 95,"Ex Post Facto","https://www.tvmaze.com/episodes/44642/star-trek-voyager-1x08-ex-post-facto"
9,1,9,13 Mar 95,"Emanations","https://www.tvmaze.com/episodes/44643/star-trek-voyager-1x09-emanations"
10,1,10,20 Mar 95,"Prime Factors","https://www.tvmaze.com/episodes/44644/star-trek-voyager-1x10-prime-factors"
11,1,11,10 Apr 95,"State of Flux","https://www.tvmaze.com/episodes/44645/star-trek-voyager-1x11-state-of-flux"
12,1,12,24 Apr 95,"Heroes and Demons","https://www.tvmaze.com/episodes/44646/star-trek-voyager-1x12-heroes-and-demons"
13,1,13,01 May 95,"Cathexis","https://www.tvmaze.com/episodes/44647/star-trek-voyager-1x13-cathexis"
14,1,14,08 May 95,"Faces","https://www.tvmaze.com/episodes/44648/star-trek-voyager-1x14-faces"
15,1,15,15 May 95,"Jetrel","https://www.tvmaze.com/episodes/44649/star-trek-voyager-1x15-jetrel"
16,1,16,22 May 95,"Learning Curve","https://www.tvmaze.com/episodes/44650/star-trek-voyager-1x16-learning-curve"
17,2,1,28 Aug 95,"The 37's","https://www.tvmaze.com/episodes/44651/star-trek-voyager-2x01-the-37s"
18,2,2,04 Sep 95,"Initiations","https://www.tvmaze.com/episodes/44652/star-trek-voyager-2x02-initiations"
19,2,3,11 Sep 95,"Projections","https://www.tvmaze.com/episodes/44653/star-trek-voyager-2x03-projections"
20,2,4,18 Sep 95,"Elogium","https://www.tvmaze.com/episodes/44654/star-trek-voyager-2x04-elogium"
21,2,5,25 Sep 95,"Non Sequitur","https://www.tvmaze.com/episodes/44655/star-trek-voyager-2x05-non-sequitur"
22,2,6,02 Oct 95,"Twisted","https://www.tvmaze.com/episodes/44656/star-trek-voyager-2x06-twisted"
23,2,7,09 Oct 95,"Parturition","https://www.tvmaze.com/episodes/44657/star-trek-voyager-2x07-parturition"
24,2,8,30 Oct 95,"Persistence of Vision","https://www.tvmaze.com/episodes/44658/star-trek-voyager-2x08-persistence-of-vision"
25,2,9,06 Nov 95,"Tattoo","https://www.tvmaze.com/episodes/44659/star-trek-voyager-2x09-tattoo"
26,2,10,13 Nov 95,"Cold Fire","https://www.tvmaze.com/episodes/44660/star-trek-voyager-2x10-cold-fire"
27,2,11,20 Nov 95,"Maneuvers","https://www.tvmaze.com/episodes/44661/star-trek-voyager-2x11-maneuvers"
28,2,12,27 Nov 95,"Resistance","https://www.tvmaze.com/episodes/44662/star-trek-voyager-2x12-resistance"
29,2,13,15 Jan 96,"Prototype","https://www.tvmaze.com/episodes/44663/star-trek-voyager-2x13-prototype"
30,2,14,22 Jan 96,"Alliances","https://www.tvmaze.com/episodes/44664/star-trek-voyager-2x14-alliances"
31,2,15,29 Jan 96,"Threshold","https://www.tvmaze.com/episodes/44665/star-trek-voyager-2x15-threshold"
32,2,16,05 Feb 96,"Meld","https://www.tvmaze.com/episodes/44666/star-trek-voyager-2x16-meld"
33,2,17,12 Feb 96,"Dreadnought","https://www.tvmaze.com/episodes/44667/star-trek-voyager-2x17-dreadnought"
34,2,18,19 Feb 96,"Death Wish","https://www.tvmaze.com/episodes/44668/star-trek-voyager-2x18-death-wish"
35,2,19,26 Feb 96,"Lifesigns","https://www.tvmaze.com/episodes/44669/star-trek-voyager-2x19-lifesigns"
36,2,20,13 Mar 96,"Investigations","https://www.tvmaze.com/episodes/44670/star-trek-voyager-2x20-investigations"
37,2,21,18 Mar 96,"Deadlock","https://www.tvmaze.com/episodes/44671/star-trek-voyager-2x21-deadlock"
38,2,22,08 Apr 96,"Innocence","https://www.tvmaze.com/episodes/44672/star-trek-voyager-2x22-innocence"
39,2,23,29 Apr 96,"The Thaw","https://www.tvmaze.com/episodes/44673/star-trek-voyager-2x23-the-thaw"
40,2,24,06 May 96,"Tuvix","https://www.tvmaze.com/episodes/44674/star-trek-voyager-2x24-tuvix"
41,2,25,13 May 96,"Resolutions","https://www.tvmaze.com/episodes/44675/star-trek-voyager-2x25-resolutions"
42,2,26,20 May 96,"Basics, Part I","https://www.tvmaze.com/episodes/44676/star-trek-voyager-2x26-basics-part-i"
43,3,1,04 Sep 96,"Basics, Part II","https://www.tvmaze.com/episodes/44677/star-trek-voyager-3x01-basics-part-ii"
44,3,2,11 Sep 96,"Flashback","https://www.tvmaze.com/episodes/44678/star-trek-voyager-3x02-flashback"
45,3,3,18 Sep 96,"The Chute","https://www.tvmaze.com/episodes/44679/star-trek-voyager-3x03-the-chute"
46,3,4,25 Sep 96,"The Swarm","https://www.tvmaze.com/episodes/44680/star-trek-voyager-3x04-the-swarm"
47,3,5,02 Oct 96,"False Profits","https://www.tvmaze.com/episodes/44681/star-trek-voyager-3x05-false-profits"
48,3,6,09 Oct 96,"Remember","https://www.tvmaze.com/episodes/44682/star-trek-voyager-3x06-remember"
49,3,7,30 Oct 96,"Sacred Ground","https://www.tvmaze.com/episodes/44683/star-trek-voyager-3x07-sacred-ground"
50,3,8,06 Nov 96,"Future's End, Part I","https://www.tvmaze.com/episodes/44684/star-trek-voyager-3x08-futures-end-part-i"
51,3,9,13 Nov 96,"Future's End, Part II","https://www.tvmaze.com/episodes/44685/star-trek-voyager-3x09-futures-end-part-ii"
52,3,10,20 Nov 96,"Warlord","https://www.tvmaze.com/episodes/44686/star-trek-voyager-3x10-warlord"
53,3,11,27 Nov 96,"The Q and the Grey","https://www.tvmaze.com/episodes/44687/star-trek-voyager-3x11-the-q-and-the-grey"
54,3,12,11 Dec 96,"Macrocosm","https://www.tvmaze.com/episodes/44688/star-trek-voyager-3x12-macrocosm"
55,3,13,08 Jan 97,"Fair Trade","https://www.tvmaze.com/episodes/44689/star-trek-voyager-3x13-fair-trade"
56,3,14,15 Jan 97,"Alter Ego","https://www.tvmaze.com/episodes/44690/star-trek-voyager-3x14-alter-ego"
57,3,15,29 Jan 97,"Coda","https://www.tvmaze.com/episodes/44691/star-trek-voyager-3x15-coda"
58,3,16,05 Feb 97,"Blood Fever","https://www.tvmaze.com/episodes/44692/star-trek-voyager-3x16-blood-fever"
59,3,17,12 Feb 97,"Unity","https://www.tvmaze.com/episodes/44693/star-trek-voyager-3x17-unity"
60,3,18,19 Feb 97,"The Darkling","https://www.tvmaze.com/episodes/44694/star-trek-voyager-3x18-the-darkling"
61,3,19,26 Feb 97,"Rise","https://www.tvmaze.com/episodes/44695/star-trek-voyager-3x19-rise"
62,3,20,19 Mar 97,"Favorite Son","https://www.tvmaze.com/episodes/44696/star-trek-voyager-3x20-favorite-son"
63,3,21,09 Apr 97,"Before and After","https://www.tvmaze.com/episodes/44697/star-trek-voyager-3x21-before-and-after"
64,3,22,23 Apr 97,"Real Life","https://www.tvmaze.com/episodes/44698/star-trek-voyager-3x22-real-life"
65,3,23,30 Apr 97,"Distant Origin","https://www.tvmaze.com/episodes/44699/star-trek-voyager-3x23-distant-origin"
66,3,24,07 May 97,"Displaced","https://www.tvmaze.com/episodes/44700/star-trek-voyager-3x24-displaced"
67,3,25,14 May 97,"Worst Case Scenario","https://www.tvmaze.com/episodes/44701/star-trek-voyager-3x25-worst-case-scenario"
68,3,26,21 May 97,"Scorpion, Part I","https://www.tvmaze.com/episodes/44702/star-trek-voyager-3x26-scorpion-part-i"
69,4,1,03 Sep 97,"Scorpion, Part II","https://www.tvmaze.com/episodes/44703/star-trek-voyager-4x01-scorpion-part-ii"
70,4,2,10 Sep 97,"The Gift","https://www.tvmaze.com/episodes/44704/star-trek-voyager-4x02-the-gift"
71,4,3,17 Sep 97,"Day of Honor","https://www.tvmaze.com/episodes/44705/star-trek-voyager-4x03-day-of-honor"
72,4,4,24 Sep 97,"Nemesis","https://www.tvmaze.com/episodes/44706/star-trek-voyager-4x04-nemesis"
73,4,5,01 Oct 97,"Revulsion","https://www.tvmaze.com/episodes/44707/star-trek-voyager-4x05-revulsion"
74,4,6,08 Oct 97,"The Raven","https://www.tvmaze.com/episodes/44708/star-trek-voyager-4x06-the-raven"
75,4,7,29 Oct 97,"Scientific Method","https://www.tvmaze.com/episodes/44709/star-trek-voyager-4x07-scientific-method"
